T1-AntesDeConectar;T2-AposConectar
1520719169589;1520719172324

Contador;IniLoop;StreamSize;ResponseTime
574;1520719401787;575000;11
575;1520719402159;576000;11
576;1520719402531;577000;12
577;1520719402897;578000;9
578;1520719403267;579000;11
579;1520719403638;580000;14
580;1520719404014;581000;12
581;1520719404382;582000;13
582;1520719404750;583000;10
583;1520719405115;584000;9
584;1520719405485;585000;9
585;1520719405868;586000;12
586;1520719406236;587000;11
587;1520719406605;588000;11
588;1520719406974;589000;12
589;1520719407339;590000;13
590;1520719407709;591000;10
591;1520719408077;592000;11
592;1520719408444;593000;9
593;1520719408818;594000;12
594;1520719409185;595000;11
595;1520719409555;596000;12
596;1520719409921;597000;12
597;1520719410292;598000;12
598;1520719410664;599000;13
599;1520719411032;600000;10
600;1520719411399;601000;10
601;1520719411773;602000;11
602;1520719412141;603000;11
603;1520719412511;604000;11
604;1520719412879;605000;12
605;1520719413245;606000;14
606;1520719413612;607000;11
607;1520719413982;608000;12
608;1520719414350;609000;12
609;1520719414716;610000;11
610;1520719415095;611000;11
611;1520719415460;612000;13
612;1520719415827;613000;9
613;1520719416191;614000;11
614;1520719416559;615000;10
615;1520719416925;616000;12
616;1520719417289;617000;9
617;1520719417656;618000;11
618;1520719418023;619000;13
619;1520719418389;620000;13
620;1520719418760;621000;9
621;1520719419125;622000;11
622;1520719419491;623000;13
623;1520719419856;624000;9
624;1520719420220;625000;12
625;1520719420588;626000;14
626;1520719420955;627000;12
627;1520719421319;628000;10
628;1520719421686;629000;11
629;1520719422048;630000;10
630;1520719422411;631000;10
631;1520719422778;632000;12
632;1520719423146;633000;10
633;1520719423509;634000;14
634;1520719423900;635000;15
635;1520719424263;636000;11
636;1520719424633;637000;12
637;1520719424999;638000;11
638;1520719425361;639000;9
639;1520719425726;640000;14
640;1520719426090;641000;15
641;1520719426453;642000;11
642;1520719426816;643000;10
643;1520719427180;644000;11
644;1520719427547;645000;12
645;1520719427913;646000;10
646;1520719428278;647000;14
647;1520719428647;648000;12
648;1520719429011;649000;12
649;1520719429375;650000;12
650;1520719429739;651000;10
651;1520719430109;652000;11
652;1520719430474;653000;10
653;1520719430841;654000;11
654;1520719431203;655000;13
655;1520719431566;656000;12
656;1520719431931;657000;10
657;1520719432295;658000;13
658;1520719432660;659000;10
659;1520719433023;660000;11
660;1520719433387;661000;11
661;1520719433761;662000;14
662;1520719434127;663000;13
663;1520719434489;664000;11
664;1520719434857;665000;14
665;1520719435222;666000;12
666;1520719435617;667000;12
667;1520719435981;668000;11
668;1520719436345;669000;13
669;1520719436713;670000;14
670;1520719437076;671000;11
671;1520719437441;672000;11
672;1520719437807;673000;12
673;1520719438170;674000;11
674;1520719438535;675000;11
675;1520719438900;676000;12
676;1520719439264;677000;10
677;1520719439625;678000;11
678;1520719439989;679000;11
679;1520719440352;680000;11
680;1520719440717;681000;14
681;1520719441081;682000;15
682;1520719441444;683000;15
683;1520719441809;684000;11
684;1520719442173;685000;15
685;1520719442542;686000;12
686;1520719442906;687000;10
687;1520719443274;688000;17
688;1520719443638;689000;12
689;1520719444005;690000;12
690;1520719444366;691000;11
691;1520719444730;692000;12
692;1520719445090;693000;11
693;1520719445453;694000;12
694;1520719445816;695000;9
695;1520719446178;696000;12
696;1520719446540;697000;12
697;1520719446902;698000;12
698;1520719447267;699000;11
699;1520719447629;700000;11
700;1520719447996;701000;11
701;1520719448360;702000;14
702;1520719448722;703000;10
703;1520719449089;704000;12
704;1520719449454;705000;13
705;1520719449821;706000;12
706;1520719450182;707000;13
707;1520719450545;708000;11
708;1520719450921;709000;18
709;1520719451293;710000;11
710;1520719451652;711000;15
711;1520719452019;712000;13
712;1520719452377;713000;13
713;1520719452738;714000;11
714;1520719453115;715000;13
715;1520719453478;716000;11
716;1520719453841;717000;10
717;1520719454204;718000;12
718;1520719454566;719000;12
719;1520719454932;720000;14
720;1520719455293;721000;12
721;1520719455654;722000;14
722;1520719456019;723000;15
723;1520719456379;724000;12
724;1520719456751;725000;13
725;1520719457112;726000;11
726;1520719457472;727000;14
727;1520719457838;728000;13
728;1520719458199;729000;12
729;1520719458561;730000;13
730;1520719458924;731000;11
731;1520719459287;732000;14
732;1520719459646;733000;11
733;1520719460007;734000;16
734;1520719460369;735000;13
735;1520719460733;736000;13
736;1520719461095;737000;10
737;1520719461457;738000;16
738;1520719461817;739000;13
739;1520719462179;740000;15
740;1520719462539;741000;11
741;1520719462901;742000;16
742;1520719463262;743000;14
743;1520719463620;744000;11
744;1520719463979;745000;13
745;1520719464337;746000;14
746;1520719464701;747000;12
747;1520719465063;748000;13
748;1520719465420;749000;12
749;1520719465781;750000;13
750;1520719466143;751000;12
751;1520719466504;752000;13
752;1520719466866;753000;15
753;1520719467225;754000;12
754;1520719467584;755000;13
755;1520719467945;756000;12
756;1520719468306;757000;16
757;1520719468667;758000;14
758;1520719469027;759000;10
759;1520719469426;760000;21
760;1520719469786;761000;13
761;1520719470151;762000;15
762;1520719470510;763000;12
763;1520719470869;764000;15
764;1520719471231;765000;13
765;1520719471590;766000;13
766;1520719471951;767000;12
767;1520719472310;768000;16
768;1520719472673;769000;18
769;1520719473033;770000;13
770;1520719473390;771000;13
771;1520719473747;772000;12
772;1520719474106;773000;14
773;1520719474465;774000;15
774;1520719474832;775000;14
775;1520719475190;776000;15
776;1520719475550;777000;14
777;1520719475910;778000;13
778;1520719476267;779000;11
779;1520719476629;780000;11
780;1520719476988;781000;16
781;1520719477350;782000;17
782;1520719477707;783000;12
783;1520719478068;784000;13
784;1520719478429;785000;15
785;1520719478787;786000;14
786;1520719479169;787000;14
787;1520719479528;788000;15
788;1520719479887;789000;14
789;1520719480247;790000;15
790;1520719480609;791000;17
791;1520719480967;792000;12
792;1520719481327;793000;13
793;1520719481684;794000;13
794;1520719482042;795000;12
795;1520719482402;796000;17
796;1520719482763;797000;13
797;1520719483120;798000;11
798;1520719483482;799000;18
799;1520719483841;800000;11
800;1520719484196;801000;13
801;1520719484554;802000;12
