Tarefa;T1-AntesDaElasticidade;T2-DepoisDaElasticidade
602;1520719412141;1520719412141
603;1520719412511;1520719412511
604;1520719412879;1520719412879
605;1520719413245;1520719413245
606;1520719413612;1520719413612
607;1520719413982;1520719413982
608;1520719414349;1520719414349
609;1520719414716;1520719414716
610;1520719415095;1520719415095
611;1520719415459;1520719415460
612;1520719415827;1520719415827
613;1520719416191;1520719416191
614;1520719416559;1520719416559
615;1520719416925;1520719416925
616;1520719417289;1520719417289
617;1520719417655;1520719417655
618;1520719418023;1520719418023
619;1520719418388;1520719418388
620;1520719418760;1520719418760
621;1520719419125;1520719419125
622;1520719419490;1520719419491
623;1520719419856;1520719419856
624;1520719420219;1520719420219
625;1520719420588;1520719420588
626;1520719420955;1520719420955
627;1520719421319;1520719421319
628;1520719421684;1520719421685
629;1520719422047;1520719422047
630;1520719422411;1520719422411
631;1520719422778;1520719422778
632;1520719423146;1520719423146
633;1520719423509;1520719423509
634;1520719423899;1520719423900
635;1520719424263;1520719424263
636;1520719424633;1520719424633
637;1520719424998;1520719424998
638;1520719425360;1520719425360
639;1520719425726;1520719425726
640;1520719426090;1520719426090
641;1520719426452;1520719426452
642;1520719426816;1520719426816
643;1520719427179;1520719427179
644;1520719427547;1520719427547
645;1520719427913;1520719427913
646;1520719428278;1520719428278
647;1520719428647;1520719428647
648;1520719429011;1520719429011
649;1520719429375;1520719429375
650;1520719429738;1520719429739
651;1520719430108;1520719430108
652;1520719430473;1520719430474
653;1520719430841;1520719430841
654;1520719431203;1520719431203
655;1520719431566;1520719431566
656;1520719431931;1520719431931
657;1520719432294;1520719432294
658;1520719432660;1520719432660
659;1520719433023;1520719433023
660;1520719433387;1520719433387
661;1520719433761;1520719433761
662;1520719434127;1520719434127
663;1520719434488;1520719434489
664;1520719434857;1520719434857
665;1520719435221;1520719435221
666;1520719435616;1520719435616
667;1520719435980;1520719435980
668;1520719436345;1520719436345
669;1520719436713;1520719436713
670;1520719437076;1520719437076
671;1520719437440;1520719437441
672;1520719437805;1520719437805
673;1520719438170;1520719438170
674;1520719438535;1520719438535
675;1520719438899;1520719438899
676;1520719439264;1520719439264
677;1520719439625;1520719439625
678;1520719439988;1520719439988
679;1520719440352;1520719440352
680;1520719440716;1520719440716
681;1520719441081;1520719441081
682;1520719441444;1520719441444
683;1520719441809;1520719441809
684;1520719442173;1520719442173
685;1520719442542;1520719442542
686;1520719442906;1520719442906
687;1520719443274;1520719443274
688;1520719443637;1520719443638
689;1520719444005;1520719444005
690;1520719444366;1520719444366
691;1520719444729;1520719444730
692;1520719445090;1520719445090
693;1520719445452;1520719445452
694;1520719445815;1520719445816
695;1520719446176;1520719446176
696;1520719446540;1520719446540
697;1520719446901;1520719446901
698;1520719447267;1520719447267
699;1520719447629;1520719447629
700;1520719447996;1520719447996
701;1520719448359;1520719448360
702;1520719448721;1520719448722
703;1520719449089;1520719449089
704;1520719449454;1520719449454
705;1520719449820;1520719449820
706;1520719450182;1520719450182
707;1520719450545;1520719450545
708;1520719450920;1520719450920
709;1520719451293;1520719451293
710;1520719451651;1520719451652
711;1520719452018;1520719452018
712;1520719452376;1520719452377
713;1520719452737;1520719452738
714;1520719453115;1520719453115
715;1520719453478;1520719453478
716;1520719453841;1520719453841
717;1520719454204;1520719454204
718;1520719454566;1520719454566
719;1520719454931;1520719454931
720;1520719455293;1520719455293
721;1520719455653;1520719455653
722;1520719456019;1520719456019
723;1520719456378;1520719456378
724;1520719456751;1520719456751
725;1520719457111;1520719457112
726;1520719457472;1520719457472
727;1520719457837;1520719457837
728;1520719458198;1520719458199
729;1520719458561;1520719458561
730;1520719458924;1520719458924
731;1520719459286;1520719459286
732;1520719459646;1520719459646
733;1520719460007;1520719460007
734;1520719460369;1520719460369
735;1520719460733;1520719460733
736;1520719461095;1520719461095
737;1520719461456;1520719461456
738;1520719461817;1520719461817
739;1520719462178;1520719462178
740;1520719462539;1520719462539
741;1520719462901;1520719462901
742;1520719463261;1520719463261
743;1520719463619;1520719463619
744;1520719463978;1520719463979
745;1520719464337;1520719464337
746;1520719464701;1520719464701
747;1520719465062;1520719465062
748;1520719465420;1520719465420
749;1520719465781;1520719465781
750;1520719466142;1520719466143
751;1520719466503;1520719466504
752;1520719466866;1520719466866
753;1520719467224;1520719467224
754;1520719467584;1520719467584
755;1520719467945;1520719467945
756;1520719468306;1520719468306
757;1520719468666;1520719468667
758;1520719469026;1520719469026
759;1520719469425;1520719469425
760;1520719469786;1520719469786
761;1520719470150;1520719470150
762;1520719470510;1520719470510
763;1520719470869;1520719470869
764;1520719471231;1520719471231
765;1520719471589;1520719471590
766;1520719471950;1520719471950
767;1520719472310;1520719472310
768;1520719472672;1520719472673
769;1520719473033;1520719473033
770;1520719473389;1520719473389
771;1520719473747;1520719473747
772;1520719474105;1520719474106
773;1520719474465;1520719474465
774;1520719474831;1520719474832
775;1520719475189;1520719475190
776;1520719475549;1520719475549
777;1520719475909;1520719475909
778;1520719476267;1520719476267
779;1520719476628;1520719476628
780;1520719476988;1520719476988
781;1520719477350;1520719477350
782;1520719477707;1520719477707
783;1520719478064;1520719478068
784;1520719478429;1520719478429
785;1520719478787;1520719478787
786;1520719479168;1520719479169
787;1520719479527;1520719479527
788;1520719479887;1520719479887
789;1520719480246;1520719480247
790;1520719480608;1520719480608
791;1520719480967;1520719480967
792;1520719481327;1520719481327
793;1520719481683;1520719481683
794;1520719482042;1520719482042
795;1520719482402;1520719482402
796;1520719482762;1520719482762
797;1520719483120;1520719483120
798;1520719483480;1520719483481
799;1520719483840;1520719483840
800;1520719484195;1520719484196
801;1520719484554;1520719484554
802;1520719484913;1520719484914
803;1520719485273;1520719485273
804;1520719485630;1520719485630
805;1520719485990;1520719485990
806;1520719486347;1520719486347
807;1520719486704;1520719486704
